index;venda chave;data venda;data chave;estado;regiao;cliente;segmento;cliente chave;id produto;produto ;preco;custo;desconto;quantidade;total venda
1725;2021-127453;12/19/2021;20211219;CE;Nordeste;33. Café & Prosa;Café & Bistrô;1032;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;2%;600; 12.352,25 
1726;2021-127453;12/19/2021;20211219;CE;Nordeste;33. Café & Prosa;Café & Bistrô;1032;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;2%;500; 10.293,54 
1727;2021-127453;12/19/2021;20211219;CE;Nordeste;33. Café & Prosa;Café & Bistrô;1032;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;2%;300; 6.176,12 
1728;2023-164056;4/30/2023;20230430;GO;Centro-Oeste;55. Café da Alma;Café & Bistrô;1005;Q-P2;Quiche P2; 4,79 ; 3,21 ;4%;500; 10.293,54 
1729;2022-106894;02/07/2022;20220207;CE;Nordeste;76. Café do Luar;Café & Bistrô;1077;M-P;Mel P; 4,02 ; 2,70 ;0%;500; 2.395,88 
1730;2022-106894;02/07/2022;20220207;CE;Nordeste;76. Café do Luar;Café & Bistrô;1077;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;600; 12.352,25 
1731;2020-125136;9/28/2020;20200928;RS;Sul;56. Café do Tempo;Café & Bistrô;1010;Q-M;Quiche M; 11,68 ; 7,82 ;2%;800; 16.469,66 
1732;2020-125136;9/28/2020;20200928;RS;Sul;56. Café do Tempo;Café & Bistrô;1010;Q-M;Quiche M; 11,68 ; 7,82 ;2%;1300; 6.751,24 
1733;2022-131149;07/11/2022;20220711;PE;Nordeste;88. Café do Pomar;Café & Bistrô;1038;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;300; 1.207,25 
1734;2022-131149;07/11/2022;20220711;PE;Nordeste;88. Café do Pomar;Café & Bistrô;1038;P-P;Panetone P; 8,03 ; 5,38 ;2%;400; 7.679,97 
1735;2023-101483;7/30/2023;20230730;RS;Sul;1. Delícias da Terra;Indústria;1011;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;2%;300; 3.305,14 
1736;2023-101483;7/30/2023;20230730;RS;Sul;1. Delícias da Terra;Indústria;1011;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;500; 9.599,97 
1737;2023-101483;7/30/2023;20230730;RS;Sul;1. Delícias da Terra;Indústria;1011;P-P;Panetone P; 8,03 ; 5,38 ;2%;700; 14.410,96 
1738;2021-130204;09/03/2021;20210903;BA;Nordeste;57. Bistrô das Estrelas;Café & Bistrô;1064;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;300; 1.557,98 
1739;2021-130204;09/03/2021;20210903;BA;Nordeste;57. Bistrô das Estrelas;Café & Bistrô;1064;M-P;Mel P; 4,02 ; 2,70 ;0%;300; 6.176,12 
1740;2021-130204;09/03/2021;20210903;BA;Nordeste;57. Bistrô das Estrelas;Café & Bistrô;1064;M-P;Mel P; 4,02 ; 2,70 ;0%;500; 10.293,54 
1741;2020-110527;08/09/2020;20200809;BA;Nordeste;44. Bistrô da Vila;Café & Bistrô;1052;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;500; 9.599,97 
1742;2023-152807;10/31/2023;20231031;CE;Nordeste;41. Café & Companhia;Café & Bistrô;1073;Q-M;Quiche M; 11,68 ; 7,82 ;2%;400; 4.406,85 
1743;2023-152807;10/31/2023;20231031;CE;Nordeste;41. Café & Companhia;Café & Bistrô;1073;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;2%;400; 7.679,97 
1744;2023-152807;10/31/2023;20231031;CE;Nordeste;41. Café & Companhia;Café & Bistrô;1073;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;100; 2.058,71 
1745;2023-152807;10/31/2023;20231031;CE;Nordeste;41. Café & Companhia;Café & Bistrô;1073;M-P;Mel P; 4,02 ; 2,70 ;2%;300; 6.176,12 
1746;2020-133270;06/06/2020;20200606;PA;Nordeste;44. Bistrô da Vila;Café & Bistrô;1052;P-P;Panetone P; 8,03 ; 5,38 ;0%;200; 4.117,42 
1747;2022-155670;8/14/2022;20220814;RS;Sul;48. Bistrô do Campo;Café & Bistrô;1082;Q-P2;Quiche P2; 4,79 ; 3,21 ;7%;100; 1.919,99 
1748;2022-155670;8/14/2022;20220814;RS;Sul;48. Bistrô do Campo;Café & Bistrô;1082;Q-M;Quiche M; 11,68 ; 7,82 ;2%;500; 9.599,97 
1749;2020-157406;4/25/2020;20200425;PE;Nordeste;46. Bistrô do Porto;Café & Bistrô;1057;Q-M;Quiche M; 11,68 ; 7,82 ;2%;900; 17.279,94 
1750;2020-157406;4/25/2020;20200425;PE;Nordeste;46. Bistrô do Porto;Café & Bistrô;1057;P-P;Panetone P; 8,03 ; 5,38 ;2%;200; 4.614,22 
1751;2021-139094;11/22/2021;20211122;PE;Nordeste;63. Bistrô das Montanhas;Café & Bistrô;1035;Q-P2;Quiche P2; 4,79 ; 3,21 ;3%;300; 5.759,98 
1752;2023-168837;10/15/2023;20231015;BA;Nordeste;67. Bistrô das Estrelas;Café & Bistrô;1013;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;300; 6.965,77 
1753;2023-116715;12/03/2023;20231203;BA;Nordeste;9. Chef’s Haven;Restaurante;1088;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;200; 4.117,42 
1754;2023-116715;12/03/2023;20231203;BA;Nordeste;9. Chef’s Haven;Restaurante;1088;Q-M;Quiche M; 11,68 ; 7,82 ;0%;300; 6.176,12 
1755;2023-116715;12/03/2023;20231203;BA;Nordeste;9. Chef’s Haven;Restaurante;1088;Q-M;Quiche M; 11,68 ; 7,82 ;0%;200; 2.203,43 
1756;2021-135622;12/08/2021;20211208;PE;Nordeste;81. Bistrô das Trilhas;Café & Bistrô;1056;Q-M;Quiche M; 11,68 ; 7,82 ;2%;600; 6.610,28 
1757;2021-135622;12/08/2021;20211208;PE;Nordeste;81. Bistrô das Trilhas;Café & Bistrô;1056;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;100; 1.919,99 
1758;2021-107349;7/13/2021;20210713;PE;Nordeste;8. Cantinho Gourmet;Restaurante;1009;Q-P2;Quiche P2; 4,79 ; 3,21 ;8%;400; 9.228,44 
1759;2020-139017;05/11/2020;20200511;PE;Nordeste;74. Café do Entardecer;Café & Bistrô;1071;M-P;Mel P; 4,02 ; 2,70 ;2%;400; 1.916,70 
1760;2020-141817;01/06/2020;20200106;CE;Nordeste;71. Bistrô das Brisas;Café & Bistrô;1050;P-P;Panetone P; 8,03 ; 5,38 ;2%;200; 4.117,42 
1761;2021-130785;09/05/2021;20210905;BA;Nordeste;13. Gastronomia Urbana;Restaurante;1039;Q-G1;Quiche G1; 23,07 ; 15,46 ;2%;100; 1.101,71 
1762;2021-130785;09/05/2021;20210905;BA;Nordeste;13. Gastronomia Urbana;Restaurante;1039;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;600; 11.519,96 
1763;2021-130785;09/05/2021;20210905;BA;Nordeste;13. Gastronomia Urbana;Restaurante;1039;Q-G1;Quiche G1; 23,07 ; 15,46 ;2%;300; 3.305,14 
1764;2022-110254;08/05/2022;20220805;CE;Nordeste;67. Bistrô das Estrelas;Café & Bistrô;1013;Q-M;Quiche M; 11,68 ; 7,82 ;0%;300; 5.759,98 
1765;2022-110254;08/05/2022;20220805;CE;Nordeste;67. Bistrô das Estrelas;Café & Bistrô;1013;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;500; 9.599,97 
1766;2022-110254;08/05/2022;20220805;CE;Nordeste;67. Bistrô das Estrelas;Café & Bistrô;1013;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;400; 7.679,97 
1767;2022-110254;08/05/2022;20220805;CE;Nordeste;67. Bistrô das Estrelas;Café & Bistrô;1013;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;700; 13.439,96 
1768;2020-158057;3/22/2020;20200322;RS;Sul;85. Bistrô das Varandas;Café & Bistrô;1040;Q-P2;Quiche P2; 4,79 ; 3,21 ;7%;100; 2.321,92 
1769;2020-158057;3/22/2020;20200322;RS;Sul;85. Bistrô das Varandas;Café & Bistrô;1040;Q-P2;Quiche P2; 4,79 ; 3,21 ;7%;500; 9.599,97 
1770;2023-146024;03/03/2023;20230303;PE;Nordeste;9. Chef’s Haven;Restaurante;1088;Q-M;Quiche M; 11,68 ; 7,82 ;2%;200; 4.117,42 
1771;2023-146024;03/03/2023;20230303;PE;Nordeste;9. Chef’s Haven;Restaurante;1088;Q-P2;Quiche P2; 4,79 ; 3,21 ;8%;600; 12.352,25 
1772;2022-129686;11/28/2022;20221128;MS;Centro-Oeste;91. Bistrô das Abelhas;Eventos;1027;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;700; 14.410,96 
1773;2022-129686;11/28/2022;20221128;MS;Centro-Oeste;91. Bistrô das Abelhas;Eventos;1027;M-P;Mel P; 4,02 ; 2,70 ;2%;500; 9.599,97 
1774;2020-118976;4/28/2020;20200428;MG;Sudeste;4. Indústria do Sabor;Indústria;1065;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;500; 10.293,54 
1775;2020-118976;4/28/2020;20200428;MG;Sudeste;4. Indústria do Sabor;Indústria;1065;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;300; 6.965,77 
1776;2020-118976;4/28/2020;20200428;MG;Sudeste;4. Indústria do Sabor;Indústria;1065;P-P;Panetone P; 8,03 ; 5,38 ;0%;200; 2.203,43 
1777;2020-118976;4/28/2020;20200428;MG;Sudeste;4. Indústria do Sabor;Indústria;1065;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;700; 16.253,47 
1778;2021-105347;11/24/2021;20211124;BA;Nordeste;14. Sabores do Mundo;Restaurante;1043;Q-M;Quiche M; 11,68 ; 7,82 ;0%;500; 9.599,97 
1779;2021-105347;11/24/2021;20211124;BA;Nordeste;14. Sabores do Mundo;Restaurante;1043;P-P;Panetone P; 8,03 ; 5,38 ;0%;500; 9.599,97 
1780;2022-124667;11/12/2022;20221112;PA;Nordeste;12. Terra & Fogo;Restaurante;1017;M-P;Mel P; 4,02 ; 2,70 ;0%;500; 9.599,97 
1781;2022-124667;11/12/2022;20221112;PA;Nordeste;12. Terra & Fogo;Restaurante;1017;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;200; 804,83 
1782;2021-111094;07/09/2021;20210709;MG;Sudeste;11. Sabor do Mar;Restaurante;1026;Q-M;Quiche M; 11,68 ; 7,82 ;0%;400; 1.609,66 
1783;2021-111094;07/09/2021;20210709;MG;Sudeste;11. Sabor do Mar;Restaurante;1026;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;300; 1.207,25 
1784;2023-166317;9/23/2023;20230923;SP;Sudeste;55. Café da Alma;Café & Bistrô;1005;Q-M;Quiche M; 11,68 ; 7,82 ;0%;400; 1.609,66 
1785;2023-166317;9/23/2023;20230923;SP;Sudeste;55. Café da Alma;Café & Bistrô;1005;M-P;Mel P; 4,02 ; 2,70 ;0%;400; 1.609,66 
1786;2023-166317;9/23/2023;20230923;SP;Sudeste;55. Café da Alma;Café & Bistrô;1005;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;400; 1.609,66 
1787;2023-166317;9/23/2023;20230923;SP;Sudeste;55. Café da Alma;Café & Bistrô;1005;Q-P1;Quiche P1; 5,19 ; 3,48 ;0%;800; 3.219,32 
1788;2021-154326;2/15/2021;20210215;SP;Sudeste;23. Cantina da Nonna;Restaurante;1028;Q-P1;Quiche P1; 5,19 ; 3,48 ;0%;500; 9.599,97 
1789;2021-154326;2/15/2021;20210215;SP;Sudeste;23. Cantina da Nonna;Restaurante;1028;Q-P1;Quiche P1; 5,19 ; 3,48 ;0%;500; 9.599,97 
1790;2021-154326;2/15/2021;20210215;SP;Sudeste;23. Cantina da Nonna;Restaurante;1028;M-P;Mel P; 4,02 ; 2,70 ;0%;500; 2.012,08 
1791;2020-102008;9/30/2020;20200930;PA;Nordeste;23. Cantina da Nonna;Restaurante;1028;Q-M;Quiche M; 11,68 ; 7,82 ;0%;300; 2.407,90 
1792;2020-120474;12/01/2020;20201201;SP;Sudeste;9. Chef’s Haven;Restaurante;1088;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;300; 2.407,90 
1793;2020-120474;12/01/2020;20201201;SP;Sudeste;9. Chef’s Haven;Restaurante;1088;P-P;Panetone P; 8,03 ; 5,38 ;0%;300; 2.407,90 
1794;2020-104773;12/08/2020;20201208;PE;Nordeste;9. Chef’s Haven;Restaurante;1088;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;300; 2.407,90 
1795;2022-140774;09/06/2022;20220906;MG;Sudeste;22. Sabores do Oriente;Restaurante;1100;P-P;Panetone P; 8,03 ; 5,38 ;0%;200; 1.605,27 
1796;2023-139465;8/28/2023;20230828;PA;Nordeste;46. Bistrô do Porto;Café & Bistrô;1057;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;100; 402,42 
1797;2023-139465;8/28/2023;20230828;PA;Nordeste;46. Bistrô do Porto;Café & Bistrô;1057;Q-P1;Quiche P1; 5,19 ; 3,48 ;0%;500; 10.293,54 
1798;2023-139465;8/28/2023;20230828;PA;Nordeste;46. Bistrô do Porto;Café & Bistrô;1057;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;500; 10.293,54 
1799;2022-100965;07/08/2022;20220708;BA;Nordeste;74. Café do Entardecer;Café & Bistrô;1071;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;100; 2.058,71 
1800;2022-121034;08/09/2022;20220809;PE;Nordeste;13. Gastronomia Urbana;Restaurante;1039;P-M-Premium;Panetone M Premium; 23,22 ; 15,56 ;2%;200; 2.203,43 
1801;2022-121034;08/09/2022;20220809;PE;Nordeste;13. Gastronomia Urbana;Restaurante;1039;Q-M;Quiche M; 11,68 ; 7,82 ;2%;200; 2.203,43 
1802;2022-149461;11/14/2022;20221114;BA;Nordeste;45. Café & Arte;Café & Bistrô;1097;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;200; 2.203,43 
1803;2023-158379;9/23/2023;20230923;CE;Nordeste;5. Confeitaria Estrela;Indústria;1007;Q-P2;Quiche P2; 4,79 ; 3,21 ;7%;200; 1.605,27 
1804;2023-158379;9/23/2023;20230923;CE;Nordeste;5. Confeitaria Estrela;Indústria;1007;Q-M;Quiche M; 11,68 ; 7,82 ;2%;400; 3.210,54 
1805;2023-158379;9/23/2023;20230923;CE;Nordeste;5. Confeitaria Estrela;Indústria;1007;M-P;Mel P; 4,02 ; 2,70 ;2%;100; 479,18 
1806;2022-116729;12/26/2022;20221226;BA;Nordeste;24. Sabor & Tradição;Restaurante;1076;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;200; 2.335,22 
1807;2022-116729;12/26/2022;20221226;BA;Nordeste;24. Sabor & Tradição;Restaurante;1076;Q-M;Quiche M; 11,68 ; 7,82 ;0%;500; 4.013,17 
1808;2022-116729;12/26/2022;20221226;BA;Nordeste;24. Sabor & Tradição;Restaurante;1076;M-P;Mel P; 4,02 ; 2,70 ;0%;200; 2.335,22 
1809;2022-164938;02/11/2022;20220211;MG;Sudeste;93. Bistrô das Colheitas;Eventos;1041;Q-P1;Quiche P1; 5,19 ; 3,48 ;0%;200; 1.605,27 
1810;2022-165484;10/24/2022;20221024;MS;Centro-Oeste;78. Café do Silêncio;Café & Bistrô;1015;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;6%;200; 1.605,27 
1811;2022-165484;10/24/2022;20221024;MS;Centro-Oeste;78. Café do Silêncio;Café & Bistrô;1015;Q-M;Quiche M; 11,68 ; 7,82 ;2%;200; 1.605,27 
1812;2020-132612;06/09/2020;20200609;CE;Nordeste;34. Bistrô das Artes;Café & Bistrô;1008;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;200; 1.605,27 
1813;2023-161193;11/21/2023;20231121;GO;Centro-Oeste;89. Bistrô das Frutas;Café & Bistrô;1029;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;2%;200; 2.203,43 
1814;2023-161193;11/21/2023;20231121;GO;Centro-Oeste;89. Bistrô das Frutas;Café & Bistrô;1029;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;2%;300; 2.407,90 
1815;2021-131597;9/14/2021;20210914;BA;Nordeste;40. Bistrô da Lua;Café & Bistrô;1014;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;100; 479,18 
1816;2021-164833;06/04/2021;20210604;BA;Nordeste;30. Mesa de Estrelas;Restaurante;1002;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;200; 4.117,42 
1817;2021-164833;06/04/2021;20210604;BA;Nordeste;30. Mesa de Estrelas;Restaurante;1002;P-P;Panetone P; 8,03 ; 5,38 ;0%;500; 4.037,11 
1818;2021-125423;12/13/2021;20211213;BA;Nordeste;52. Bistrô do Rio;Café & Bistrô;1049;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;200; 4.643,85 
1819;2020-130379;5/25/2020;20200525;MS;Centro-Oeste;60. Café do Horizonte;Café & Bistrô;1016;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;8%;200; 4.643,85 
1820;2020-130379;5/25/2020;20200525;MS;Centro-Oeste;60. Café do Horizonte;Café & Bistrô;1016;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;6%;500; 4.013,17 
1821;2022-168956;2/16/2022;20220216;MS;Centro-Oeste;42. Bistrô das Estações;Café & Bistrô;1048;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;8%;400; 2.077,30 
1822;2022-168956;2/16/2022;20220216;MS;Centro-Oeste;42. Bistrô das Estações;Café & Bistrô;1048;P-M-Premium;Panetone M Premium; 23,22 ; 15,56 ;2%;400; 2.077,30 
1823;2022-168956;2/16/2022;20220216;MS;Centro-Oeste;42. Bistrô das Estações;Café & Bistrô;1048;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;3%;100; 479,18 
1824;2022-168956;2/16/2022;20220216;MS;Centro-Oeste;42. Bistrô das Estações;Café & Bistrô;1048;Q-M;Quiche M; 11,68 ; 7,82 ;2%;500; 2.596,63 
1825;2022-167507;12/23/2022;20221223;CE;Nordeste;12. Terra & Fogo;Restaurante;1017;Q-P2;Quiche P2; 4,79 ; 3,21 ;7%;100; 519,33 
1826;2022-167507;12/23/2022;20221223;CE;Nordeste;12. Terra & Fogo;Restaurante;1017;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;2%;500; 2.596,63 
1827;2022-167507;12/23/2022;20221223;CE;Nordeste;12. Terra & Fogo;Restaurante;1017;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;2%;200; 1.605,27 
1828;2022-109344;02/08/2022;20220208;RS;Sul;94. Café do Celeiro;Eventos;1001;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;100; 802,63 
1829;2021-140851;7/13/2021;20210713;RS;Sul;61. Bistrô das Flores;Café & Bistrô;1046;Q-M;Quiche M; 11,68 ; 7,82 ;0%;200; 1.605,27 
1830;2020-103373;5/18/2020;20200518;GO;Centro-Oeste;49. Café & Sonhos;Café & Bistrô;1055;Q-P1;Quiche P1; 5,19 ; 3,48 ;4%;500; 4.013,17 
1831;2023-145884;10/22/2023;20231022;MG;Sudeste;8. Cantinho Gourmet;Restaurante;1009;Q-P1;Quiche P1; 5,19 ; 3,48 ;0%;500; 4.013,17 
1832;2023-145884;10/22/2023;20231022;MG;Sudeste;8. Cantinho Gourmet;Restaurante;1009;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;200; 1.605,27 
1833;2021-131422;11/05/2021;20211105;RS;Sul;87. Bistrô das Rosas;Café & Bistrô;1095;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;2%;100; 1.919,99 
1834;2023-162691;08/02/2023;20230802;PE;Nordeste;60. Café do Horizonte;Café & Bistrô;1016;G-G2;Galupe G2; 11,68 ; 7,83 ;4%;100; 1.919,99 
1835;2023-162691;08/02/2023;20230802;PE;Nordeste;60. Café do Horizonte;Café & Bistrô;1016;Q-M;Quiche M; 11,68 ; 7,82 ;2%;100; 1.919,99 
1836;2020-141278;6/21/2020;20200621;PR;Sul;74. Café do Entardecer;Café & Bistrô;1071;P-P;Panetone P; 8,03 ; 5,38 ;0%;100; 1.919,99 
1837;2023-122693;2/20/2023;20230220;RS;Sul;22. Sabores do Oriente;Restaurante;1100;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;0%;100; 1.919,99 
1838;2020-117345;08/01/2020;20200801;RS;Sul;64. Café do Porto;Café & Bistrô;1022;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;2%;300; 1.437,53 
1839;2020-117345;08/01/2020;20200801;RS;Sul;64. Café do Porto;Café & Bistrô;1022;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;2%;200; 1.605,27 
1840;2020-117345;08/01/2020;20200801;RS;Sul;64. Café do Porto;Café & Bistrô;1022;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;2%;200; 1.605,27 
1841;2020-117345;08/01/2020;20200801;RS;Sul;64. Café do Porto;Café & Bistrô;1022;Q-M;Quiche M; 11,68 ; 7,82 ;2%;200; 4.117,42 
1842;2022-157763;7/19/2022;20220719;PA;Nordeste;26. Restaurante do Chef;Restaurante;1024;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;0%;100; 2.058,71 
1843;2021-135391;02/09/2021;20210209;PE;Nordeste;59. Bistrô das Cores;Café & Bistrô;1090;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;2%;200; 2.203,43 
1844;2021-135391;02/09/2021;20210209;PE;Nordeste;59. Bistrô das Cores;Café & Bistrô;1090;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;6%;200; 2.203,43 
1845;2023-113852;7/30/2023;20230730;BA;Nordeste;19. Restaurante Estrela;Restaurante;1004;M-P;Mel P; 4,02 ; 2,70 ;0%;100; 402,42 
1846;2023-158512;1/13/2023;20230113;CE;Nordeste;46. Bistrô do Porto;Café & Bistrô;1057;Q-M;Quiche M; 11,68 ; 7,82 ;0%;200; 1.605,27 
1847;2023-158512;1/13/2023;20230113;CE;Nordeste;46. Bistrô do Porto;Café & Bistrô;1057;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;100; 1.919,99 
1848;2023-128370;09/11/2023;20230911;BA;Nordeste;11. Sabor do Mar;Restaurante;1026;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;2%;100; 1.167,61 
1849;2023-128370;09/11/2023;20230911;BA;Nordeste;11. Sabor do Mar;Restaurante;1026;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;200; 2.452,25 
1850;2021-160472;7/20/2021;20210720;RJ;Sudeste;55. Café da Alma;Café & Bistrô;1005;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;500; 4.013,17 
1851;2021-160472;7/20/2021;20210720;RJ;Sudeste;55. Café da Alma;Café & Bistrô;1005;M-P;Mel P; 4,02 ; 2,70 ;0%;300; 1.207,25 
1852;2021-160472;7/20/2021;20210720;RJ;Sudeste;55. Café da Alma;Café & Bistrô;1005;Q-M;Quiche M; 11,68 ; 7,82 ;0%;300; 2.407,90 
1853;2021-160472;7/20/2021;20210720;RJ;Sudeste;55. Café da Alma;Café & Bistrô;1005;G-G1;Galupe G1; 12,26 ; 8,22 ;0%;100; 1.226,12 
1854;2021-160472;7/20/2021;20210720;RJ;Sudeste;55. Café da Alma;Café & Bistrô;1005;Q-M;Quiche M; 11,68 ; 7,82 ;0%;500; 11.609,62 
1855;2021-160472;7/20/2021;20210720;RJ;Sudeste;55. Café da Alma;Café & Bistrô;1005;Q-G2;Quiche G2; 20,59 ; 13,79 ;0%;200; 958,35 
1856;2020-114643;6/13/2020;20200613;BA;Nordeste;55. Café da Alma;Café & Bistrô;1005;P-P;Panetone P; 8,03 ; 5,38 ;0%;200; 1.605,27 
1857;2023-158218;5/13/2023;20230513;PE;Nordeste;43. Café do Mercado;Café & Bistrô;1081;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;100; 479,18 
1858;2023-158218;5/13/2023;20230513;PE;Nordeste;43. Café do Mercado;Café & Bistrô;1081;Q-P2;Quiche P2; 4,79 ; 3,21 ;8%;200; 1.605,27 
1859;2021-121608;09/03/2021;20210903;PR;Sul;2. Fábrica de Sonhos Doces;Indústria;1031;Q-Mini;Quiche Mini; 8,07 ; 5,41 ;0%;300; 2.407,90 
1860;2021-121608;09/03/2021;20210903;PR;Sul;2. Fábrica de Sonhos Doces;Indústria;1031;Q-P1;Quiche P1; 5,19 ; 3,48 ;0%;200; 3.839,99 
1861;2023-121251;3/27/2023;20230327;PA;Nordeste;50. Bistrô das Delícias;Café & Bistrô;1045;Q-G1;Quiche G1; 23,07 ; 15,46 ;2%;200; 3.839,99 
1862;2023-121251;3/27/2023;20230327;PA;Nordeste;50. Bistrô das Delícias;Café & Bistrô;1045;Q-P1;Quiche P1; 5,19 ; 3,48 ;0%;200; 3.839,99 
1863;2020-151078;11/12/2020;20201112;PE;Nordeste;36. Bistrô do Parque;Café & Bistrô;1054;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;200; 3.839,99 
1864;2022-100839;10/14/2022;20221014;SC;Sul;99. Bistrô das Estrelas Cadentes;Eventos;1012;Q-P2;Quiche P2; 4,79 ; 3,21 ;5%;200; 3.839,99 
1865;2022-100839;10/14/2022;20221014;SC;Sul;99. Bistrô das Estrelas Cadentes;Eventos;1012;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;2%;100; 802,63 
1866;2023-116659;11/13/2023;20231113;GO;Centro-Oeste;39. Café das Flores;Café & Bistrô;1033;Q-P1;Quiche P1; 5,19 ; 3,48 ;4%;500; 4.013,17 
1867;2023-118857;4/16/2023;20230416;SC;Sul;46. Bistrô do Porto;Café & Bistrô;1057;BI-M;Bolo Inglês M; 11,02 ; 7,38 ;0%;200; 4.117,42 
1868;2021-127110;6/25/2021;20210625;CE;Nordeste;94. Café do Celeiro;Eventos;1001;Q-M;Quiche M; 11,68 ; 7,82 ;2%;200; 4.117,42 
1869;2021-127110;6/25/2021;20210625;CE;Nordeste;94. Café do Celeiro;Eventos;1001;Q-G2;Quiche G2; 20,59 ; 13,79 ;2%;500; 5.508,57 
1870;2022-148201;8/27/2022;20220827;BA;Nordeste;30. Mesa de Estrelas;Restaurante;1002;Q-M;Quiche M; 11,68 ; 7,82 ;0%;300; 3.502,83 
1871;2020-116932;7/21/2020;20200721;BA;Nordeste;49. Café & Sonhos;Café & Bistrô;1055;P-P;Panetone P; 8,03 ; 5,38 ;0%;200; 4.643,85 
1872;2020-116932;7/21/2020;20200721;BA;Nordeste;49. Café & Sonhos;Café & Bistrô;1055;P-P-Premium;Panetone P Premium; 19,20 ; 12,86 ;2%;100; 1.167,61 
1873;2020-116932;7/21/2020;20200721;BA;Nordeste;49. Café & Sonhos;Café & Bistrô;1055;Q-P2;Quiche P2; 4,79 ; 3,21 ;2%;100; 1.167,61 
1874;2023-142888;11/22/2023;20231122;BA;Nordeste;45. Café & Arte;Café & Bistrô;1097;Q-P2;Quiche P2; 4,79 ; 3,21 ;0%;500; 4.013,17 
1875;2020-147914;06/04/2020;20200604;GO;Centro-Oeste;39. Café das Flores;Café & Bistrô;1033;Q-M;Quiche M; 11,68 ; 7,82 ;2%;500; 5.838,04 
1876;2022-112977;03/11/2022;20220311;PA;Nordeste;32. Bistrô da Praça;Café & Bistrô;1092;Q-G1;Quiche G1; 23,07 ; 15,46 ;2%;300; 6.176,12 
1877;2023-112039;3/26/2023;20230326;PE;Nordeste;71. Bistrô das Brisas;Café & Bistrô;1050;Q-P1;Quiche P1; 5,19 ; 3,48 ;2%;300; 6.176,12 
